q_id	question_text	answer1	answer2	deu_link
ouhfrf	What is lycopene exactly? I noticed in my bottle of tomato ketchup how much they brag about healthy it is and that it is on their ketchup, but it's not in the ingredient or nutrition facts.<br />not sure with the flair though. TIA!	Lycopene is a carotene found in tomatoes and other red fruits and vegetables. It is a powerful antioxidant that has been linked to a number of health benefits, including a reduced risk of heart disease and cancer. While lycopene is found in a number of foods, tomatoes are by far the richest source.	It's a antioxydant found in tomatoes. It's not an ingredient, as it's a natural part of the tomato (and not among the classic nutrition metrics) Like other antioxydants it catches free radicals in your body wich are considered one or the reasons why we age and get cancer. There is scientific ~~evidence~~ hints it can reduce the risk of cardiovascular problems and cancer.  But ketchup isn't your best source of it (since it also contains tons of sugar). If you're really looking for something healthy try actual tomatoes, or pure tomato sauce.	HMM[6]
prc6uu	Why do water molecules attract each other (why does cohesion happen) if they're stable/have a neutral charge? H2O is stable/has a neutral chrage, right? Why do they attract each other if they're stable?	Water molecules attract each other because they are polar molecules. This means that they have a slightly positive charge on one side and a slightly negative charge on the other. This gives them a tendency to stick together, which is called cohesion.	They are neutral overall but the charge  isn't balanced out everywhere in the molecule. The oxygen nucleus has eight protons and the hydrogens  only one each. So the oxygen pulls more strongly on the electron cloud, attracting more than it's fair share. As a result the oxygen has a small negative excess charge (more electrons near it on average) and the electron-deficient hydrogens a small positive one. Opposites attract so a hydrogen of one molecule is pulled by an oxygen of another resulting in strong intermolecular forces, a high surface tension and a much higher boiling point than the molecular weight would suggest.	HMM[6]
p1qear	why does caffeine make me not hate my life as much? I get the open blood vessels but not the euphoria 	Caffeine is a stimulant that increases alertness and energy. It can also help to improve mood and reduce stress. Caffeine works by stimulating the central nervous system. This can lead to increased alertness and energy, as well as improved mood and reduced stress. While caffeine does not necessarily make everyone happy, it can help to improve mood and reduce stress for some people.	You are bag of meat with chemicals inside of you. Some of those chemicals make you feel bad and some of them make you feel good. Doing things you enjoy releases some of the good chemicals. Caffeine also increases your perception of alertness and awakeness which makes doing stuff easier and therefore more pleasant.	HMM[5]
qk3fht	Why is the molar gas constant equal to 0.0821 L*atm/k*mol? When I was in high school I thought to myself, "one day they'll explain me this".<br />I'm in my second year of college and I'm still told to assume that R is = 0.0821 L*atm/k*mol and no one has taken the time to explain me why. A teaching assistant for my physical chemistry course told me that it's defined as the Avogadro constant times the Boltzmann constant, but this doesn't really help me to understand what R is supposed to represent physically. <br />I guess this is not but rather Explain Like I'm a Chemistry Major.	The numerical value of the constant is a result of the unit we use.  If you would use the Rankine scale instead of the kelvins scale it would have another value. Rankine scale absolute temperature the degrees the same as in the Fahrenheit scale instead of Celius scale. The constant would be 9/5 of the one you use. &#x200B; The gas constant is  Avogadro constant times the Boltzmann constant. Avrogados constant is the number of particles in a mol so if you change the calculation to particles instead of mol of particle s the constant is just Boltzmann constant Boltzmann constant is 1.380649×10^−23 J/K We can then quote Wikipedia "The Boltzmann constant (kB or k) is the proportionality factor that relates the average relative kinetic energy of particles in a gas with the thermodynamic temperature of the gas." So it is a scaling factor between the kinetic energy of the particles and the temperature so its value depends on the unit we use. You can define units so it is 1. The https://en.wikipedia.org/wiki/Boltzmann_constant	Gases exhibit some proportional relationships:  - V ~ n: twice the amount of particles will take up twice the volume. - V ~ T: at twice the absolute temperature (measured in Kelvin), the gas takes up twice the volume. - V ~ 1/p: at twice the pressure, the gas will take up half the volume. We can combine these three relationships into V ~ nT/p. So if we know the volume of a given quantity of gas at a given pressure and temperature, we can calculate how it changes when we change any of these properties. The gas constant gives us a base number for that relationship: in the form you stated it, it is the volume of one mol of (ideal) gas at a pressure of 1 atmosphere and a temperature of 1 Kelvin. From this, you can then calculate the volume of *any* amount of ideal gas at *any* pressure and *any* temperature.	HHh[3][1]
r5o2iv	where does hospital morphine come from? is it poppies? is it synthetic? is it not actually morphine? do all countries have secret poppy fields just in case of war?	Growing poppies is usually restricted to commercial, regulated farms, but it’s not outright illegal. Poppy seeds are used in a lot of cuisine, probably most commonly in the West as part of poppy seed cakes and as a topping for bagels (eg. the ubiquitous “everything” bagel usually has poppy seeds). It’s the processing of poppies to morphine/codeine/other opioids that is highly regulated and controlled.	It is possible to make morphine through pure synthesis. However this is not a very cheap process and is therefore not used in commercial production. There is however a number of licensed poppy fields around the world. Some countries even allow limited growing of poppies without license as long as you do not extract opium from it. The same poppies used for morphine production is also used for vegitable oil and as orniments. So poppies are grown for other purpuses beyond medical ones. Most famously during WWI the battle of paachendale took place largely in a poppy field which have caused the flower to become a symbol of the veterans of this war.	HHH[3][0]
px6xwf	Why are engine exhuast valves so much smaller than intake valves? I get that the fuel burns but obviously there is no loss of mass or number of atoms. There is energy released and an increase in pressure, but if anything this would mean the exhuast valves should be bigger to handle the post combustion increase in pressure.	When you suck in air through a small opening, there's an upper limit to the pressure difference. You've got one atmosphere of pressure (1 bar) on one side and you can't have more than a perfect vacuum on the other side. 'Sucking harder' won't help and you're limited to 1 bar. When you blow air through a small opening, there's no real upper limit to the pressure difference. In that case 'blowing harder' does help and you can have a pressure difference of 2 or 3 bar. That's why pushing air through the exhaust valves is less of a challenge than sucking air through the intakes valves, and you can trade a bit of exhaust valve area for more intake valve area to improve overall airflow.	There is quite clearly an increase in the number of atoms with combustion.  Long chain hydrocarbons are converted mainly to water and carbon dioxide.  But this has nothing to do with the size of the valves. When the exhaust valves open at the end of the combustion stroke, the pressure in the cylinder is high because of the high temperature (causes gases to want to expand), and thus the flow rate out of the exhaust valves will be high.  Said another way, there is a big pressure differential or difference between the pressure in the cylinder and the pressure in the exhaust manifold during the exhaust stroke.  So the exhaust goes out fast.  Like air from a balloon that you are squeezing really hard.  You don't need a big valve for that to get a good flow rate and fully evacuate the cylinder of the exhaust gases.  For the intake stroke, the pressure difference between the cylinder and the intake manifold is small, so the flow rate will be lower.  You need a bigger valve to get all the air into the cylinder by the end of the intake stroke.  This is especially true at high rpm.	HHH[8][0]
q91q8b	what will happen if you ate 1 gram of uranium ( which is 20 billion calories ) assuming you're immune to radiation. so if you ate 1g of uranium ( which is 20 billion calories ) what will happen if you don't die or get sick due to radiation<br /> will the fat cells get very massive to the point of you dying ( or to the point you get the American passport )  ? or will the body just get rid of it?	You would gain weight. Specifically, you would gain one gram, due to the mass of the uranium you ingested. ...I know, it's a little anticlimactic, but it's what would happen. A gram of uranium contains 20 billion *heat* calories, but no *food* calories since our bodies can't derive any energy from it.	If you ate 1 gram of uranium, you would consume 20 billion calories. This would be an incredibly large amount of energy for your body to process, and you would most likely die from the sheer amount of energy being released. If you were immune to radiation, you would still be at risk of death from the amount of energy being released, as your body would not be able to handle it.	HMH[3]
pf7cqb	Does MSG actually naturally occur in foods and is it the same as products like hydrolyzed wheat and yeast extract? I see a lot of articles that defend MSG by saying that it occurs naturally in umami foods and that things like hydrolyzed proteins and yeast extract are just MSG.<br />Is it possible that while MSG is safe, the overzealous arguments aren’t completely true?<br />I thought what occurs naturally and what hydrolyzed protein and yeast extract is actually is glutamic acid, while MSG is monosodium glutamate which is a sodium salt of the acid so they technically aren’t the same.	MSG is monosodium glutamate, your body is full of glutamate as it is an amino acid essential for your life, and whenever there is sodium in solution it can and does form MSG. That is why you can't label food as "no MSG" or "MSG free", it's always "no MSG added" because if it has protein at all then it's going to have MSG. MSG, like sodium, is really one of those things that is associated with living things, and it is healthy to have it in your diet. Like sodium, there is such thing as too much. With all that said, there are studies that have shown negative effects of extreme amounts of glutamate (but nobody eats that much), and lots have shown negative effects of MSG, but the MSG negative effects can mostly be explained as too much sodium. As it relates to Chinese food, they traditionally use a lot of soy sauce, which is really soy protein and salt in liquid form, it forms a LOT of MSG, to the point that soy sauce can be considered liquid MSG. Using a lot of soy sauce will add a lot of sodium to your diet, and yes, Chinese food tends to be high in sodium. Those negative effects of Chinese food are really too much sodium, I have gotten headaches from Chinese food, it absolutely was too much sodium. For whatever reason, people seem to think a headache after eating Chinese food, and other negative effects are somehow from the MSG, it's not, it's from the sodium, which technically is "from MSG", but you would have had the same effect if your replaced the MSG with table salt.	It is possible, that MSG is perfectly safe, in fact we've known about it for years. The original "idea" that MSG was bad for you came from a prank letter written, written under a racist pseudonym to a medical journal about how "[Chinese food makes your tire](https://news.colgate.edu/magazine/2019/02/06/the-strange-case-of-dr-ho-man-kwok/)d", it was all kind of a good-natured-yet-still-kinda-racist prank in the 1970s. But immediately after tons of letters flooded in responding and then, poof , 50 years later we all "know" that MSG is bad for you.  It's not, it's delicious and normal. It's all just a prank that got out of control.	HHh[9][18]
osri2p	Why do most medicines have a side-effect? I've been drinking some meds and it was really annoying to experience the side effects. Can't we make all medicine have no side-effects? Follow up question; Does it not get affected or dissolve in our stomach?	The chemical reactions in your body are set and unchanging. It is impossible to introduce new chemical pathways. All pharmacology is either enhancing or suppressing one of these pathways. Drug side effects occur when the drug is chemically similar enough to interact with something in a different pathway other the one it is intended to work on. all the chemical pathways are interconnected as well so slowing one down or speeding one up is likely to have a “domino” effect which causes other effects to occur. Furthermore the same chemicals can serve multiple roles depending on the tissue they are present in, taking an analogue of that chemical systemically may cause multiple different effects in different tissues.  [map of the biochemical pathways in your body](https://www.cc.gatech.edu/~turk/bio_sim/articles/metabolic_pathways.png)	Usually side effects happen because the medications do more in the body than just treat the initial problem. This is because often the medications are made to be processed by the body (ingested a certain way, digested/flow into the bloodstream etc) without causing any problems within the body which cause serious issues but enough for the body to utilise the medication to treat the needs it is created for. This also means that often a medication may treat multiple areas which are not needed by the body for treatment thus to not cause harm must be at a certain dosage, or vice versa. They “under treat” an issue due to the medication being needed for multiple uses/not being able to directly fix the problem at hand alone. This is where side effects come in, normally they are not too bad depending upon the issue but if you are having issues then please speak with your personal health professional. It is also possible to have positive side effects, and In theory this has caused medications to be used for medical treatments wider than their initial intended use, often modified to treat a different issue. But basically the medication cannot directly pin point where the target area may be needed to work so in effect, treats the whole body with such intake - thus causing unrelated bodily side effects elsewhere as it is absorbed as a whole and processed through the entire system, interacting with any and all other molecules it comes into contact with.	HHH[9][1]
pas9c6	How do bug sprays like Raid kill bugs? I googled it and could not decipher the words being thrown at me. To be fair though, I am pretty stoned rn	Most bug sprays work by using chemicals that are toxic to insects. When the bug comes into contact with the spray, the chemicals will kill the bug.	It's a poison, and since bugs are tiny it takes way less poison to kill them than it would a human. A lot of times the chemicals are just destructive to tissue. Imagine you get sprayed in the face by a water hose. Some of that water's going to go in your mouth and up your nose. Now imagine instead of water, it's a toxin that destroys cell tissue. The hose stops, you gasp for breath, and your lungs start scarring as the vapor dissolves them. Or it could be a neurotoxin that disrupts your nerves so effectively the signals for your heart to beat stop working.  One squirt from a can of bug spray covers that bug with our equivalent of a swimming pool of toxins. They inevitably end up breathing in and ingesting some, and it causes catastrophic damage to their internal organs or paralyzes them.	HMM[64]
